wE	aE	wRK	aRK
-0.109940	0.196881	-0.109937	0.196875
-0.110132	0.196870	-0.110129	0.196864
-0.110324	0.196859	-0.110320	0.196853
-0.110515	0.196848	-0.110512	0.196842
-0.110707	0.196837	-0.110704	0.196831
-0.110899	0.196826	-0.110896	0.196820
-0.111091	0.196814	-0.111088	0.196809
-0.111283	0.196803	-0.111280	0.196798
-0.111475	0.196792	-0.111472	0.196787
-0.111666	0.196781	-0.111663	0.196776
-0.111858	0.196770	-0.111855	0.196764
-0.112050	0.196759	-0.112047	0.196753
-0.112242	0.196747	-0.112239	0.196742
-0.112434	0.196736	-0.112430	0.196731
-0.112625	0.196725	-0.112622	0.196719
-0.112817	0.196714	-0.112814	0.196708
-0.113009	0.196702	-0.113006	0.196697
-0.113200	0.196691	-0.113197	0.196686
-0.113392	0.196680	-0.113389	0.196674
-0.113584	0.196669	-0.113581	0.196663
-0.113776	0.196657	-0.113772	0.196652
-0.113967	0.196646	-0.113964	0.196640
-0.114159	0.196634	-0.114156	0.196629
-0.114351	0.196623	-0.114347	0.196617
-0.114542	0.196612	-0.114539	0.196606
-0.114734	0.196600	-0.114731	0.196594
-0.114926	0.196589	-0.114922	0.196583
-0.115117	0.196577	-0.115114	0.196571
-0.115309	0.196566	-0.115305	0.196560
-0.115500	0.196554	-0.115497	0.196548
-0.115692	0.196543	-0.115689	0.196537
-0.115883	0.196531	-0.115880	0.196525
-0.116075	0.196519	-0.116072	0.196514
-0.116267	0.196508	-0.116263	0.196502
-0.116458	0.196496	-0.116455	0.196490
-0.116650	0.196484	-0.116646	0.196479
-0.116841	0.196473	-0.116838	0.196467
-0.117033	0.196461	-0.117029	0.196455
-0.117224	0.196449	-0.117221	0.196444
-0.117416	0.196438	-0.117412	0.196432
-0.117607	0.196426	-0.117604	0.196420
-0.117799	0.196414	-0.117795	0.196408
-0.117990	0.196402	-0.117987	0.196397
-0.118181	0.196391	-0.118178	0.196385
-0.118373	0.196379	-0.118369	0.196373
-0.118564	0.196367	-0.118561	0.196361
-0.118756	0.196355	-0.118752	0.196349
-0.118947	0.196343	-0.118944	0.196337
-0.119138	0.196331	-0.119135	0.196325
-0.119330	0.196319	-0.119326	0.196314
-0.119521	0.196307	-0.119518	0.196302
-0.119712	0.196296	-0.119709	0.196290
-0.119904	0.196284	-0.119900	0.196278
-0.120095	0.196272	-0.120092	0.196266
-0.120286	0.196260	-0.120283	0.196254
-0.120478	0.196248	-0.120474	0.196242
-0.120669	0.196235	-0.120665	0.196230
-0.120860	0.196223	-0.120857	0.196217
-0.121052	0.196211	-0.121048	0.196205
-0.121243	0.196199	-0.121239	0.196193
-0.121434	0.196187	-0.121430	0.196181
-0.121625	0.196175	-0.121622	0.196169
-0.121817	0.196163	-0.121813	0.196157
-0.122008	0.196151	-0.122004	0.196145
-0.122199	0.196138	-0.122195	0.196132
-0.122390	0.196126	-0.122386	0.196120
